P;N;A;DensityOil;Salinity;Na;K;Ca;Mg;Cl;SO4;IFT
100;0;0;0.684;1;0;0;0.003622501;0;0.006417425;0;52.365135
100;0;0;0.684;3.5;0;0;0.012246388;0;0.021695033;0;51.956841
100;0;0;0.684;5;0;0;0.017294778;0;0.030638486;0;52.675557
100;0;0;0.684;1;0;0.005198814;0;0;0.004720151;0;51.308806
100;0;0;0.684;3.5;0;0.018383188;0;0;0.016690619;0;52.359999
100;0;0;0.684;5;0;0.026243982;0;0;0.023827656;0;51.97463
100;0;0;0.684;1;0;0;0;0.002521811;0.007368255;0;52.165269
100;0;0;0.684;3.5;0;0;0;0.008904889;0.026018401;0;51.940947
100;0;0;0.684;5;0;0;0;0.012764652;0.037295898;0;53.391183
100;0;0;0.684;1;0.003949457;0;0;0;0.006101206;0;51.314808
100;0;0;0.684;3.5;0.013786246;0;0;0;0.021297291;0;52.26345
100;0;0;0.684;5;0.019672831;0;0;0;0.030391013;0;52.627749
100;0;0;0.684;1;0;0;0.002859985;0;0;0.006850605;51.620019
100;0;0;0.684;3.5;0;0;0.01014291;0;0;0.024295607;51.276108
100;0;0;0.684;5;0;0;0.014440667;0;0;0.034590149;51.524013
100;0;0;0.684;1;0;0.004312571;0;0;0;0.005294205;51.355495
100;0;0;0.684;3.5;0;0.015476809;0;0;0;0.018999663;51.24037
100;0;0;0.684;5;0;0.022080693;0;0;0;0.027106733;51.706626
100;0;0;0.684;1;0;0;0;0.001970434;0;0.007784431;50.357424
100;0;0;0.684;3.5;0;0;0;0.006938888;0;0.02741289;52.01960067
100;0;0;0.684;5;0;0;0;0.009862095;0;0.038961364;52.21578667
100;0;0;0.684;1;0.003130776;0;0;0;0;0.006539481;51.203367
100;0;0;0.684;3.5;0.011038939;0;0;0;0;0.023057836;51.260268
100;0;0;0.684;5;0.015817008;0;0;0;0;0.033038136;52.249764
100;0;0;0.684;3.5;0.011110868;0.000393852;0.000403704;0.001305454;0.022051369;0;52.353087
100;0;0;0.684;3.47445;0.011028926;0.000260632;0.000400726;0.001295827;0.019877343;0.002559658;52.50472
50;0;50;0.7755;1;0;0;0.003622501;0;0.006417425;0;44.643922
50;0;50;0.7755;3.5;0;0;0.012246388;0;0.021695033;0;46.7354138
50;0;50;0.7755;5;0;0;0.017294778;0;0.030638486;0;46.021848
50;0;50;0.7755;1;0;0.005198814;0;0;0.004720151;0;44.643929
50;0;50;0.7755;3.5;0;0.018383188;0;0;0.016690619;0;45.054404
50;0;50;0.7755;5;0;0.026243982;0;0;0.023827656;0;46.424634
50;0;50;0.7755;1;0;0;0;0.002521811;0.007368255;0;45.101271
50;0;50;0.7755;3.5;0;0;0;0.008904889;0.026018401;0;45.3938274
