Average-HB;P;N;A;DensityOil;Salinity;Na;K;Ca;Mg;Cl;SO4;IFT
2.487;100.0000;0.0000;0.0000;0.684;0.01;0.00000;0.00000;0.00286;0.00000;0.00000;0.00685;51.485124
2.555;100.0000;0.0000;0.0000;0.684;0.03;0.00000;0.00000;0.01014;0.00000;0.00000;0.02430;52.643076
2.519;100.0000;0.0000;0.0000;0.684;0.05;0.00000;0.00000;0.01444;0.00000;0.00000;0.03459;52.830132
2.618;100.0000;0.0000;0.0000;0.684;0.01;0.00000;0.00000;0.00000;0.00197;0.00000;0.00778;50.392878
2.552;100.0000;0.0000;0.0000;0.684;0.03;0.00000;0.00000;0.00000;0.00694;0.00000;0.02741;50.339439
2.510;100.0000;0.0000;0.0000;0.684;0.05;0.00000;0.00000;0.00000;0.00986;0.00000;0.03896;51.728754
2.612;100.0000;0.0000;0.0000;0.684;0.01;0.00313;0.00000;0.00000;0.00000;0.00000;0.00654;50.979861
2.555;100.0000;0.0000;0.0000;0.684;0.03;0.01104;0.00000;0.00000;0.00000;0.00000;0.02306;52.475457
2.516;100.0000;0.0000;0.0000;0.684;0.05;0.01582;0.00000;0.00000;0.00000;0.00000;0.03304;51.747387
2.621;100.0000;0.0000;0.0000;0.684;0.01;0.00000;0.00431;0.00000;0.00000;0.00000;0.00529;51.437475
2.572;100.0000;0.0000;0.0000;0.684;0.03;0.00000;0.01548;0.00000;0.00000;0.00000;0.01900;51.845472
2.544;100.0000;0.0000;0.0000;0.684;0.05;0.00000;0.02208;0.00000;0.00000;0.00000;0.02711;52.761285
2.608;100.0000;0.0000;0.0000;0.684;0.01;0.00000;0.00000;0.00362;0.00000;0.00642;0.00000;51.73134
2.532;100.0000;0.0000;0.0000;0.684;0.03;0.00000;0.00000;0.01225;0.00000;0.02170;0.00000;52.612002
2.487;100.0000;0.0000;0.0000;0.684;0.05;0.00000;0.00000;0.01729;0.00000;0.03064;0.00000;51.187152
2.608;100.0000;0.0000;0.0000;0.684;0.01;0.00000;0.00000;0.00000;0.00252;0.00737;0.00000;51.844272
2.529;100.0000;0.0000;0.0000;0.684;0.03;0.00000;0.00000;0.00000;0.00890;0.02602;0.00000;51.542682
2.459;100.0000;0.0000;0.0000;0.684;0.05;0.00000;0.00000;0.00000;0.01276;0.03730;0.00000;52.37127
2.611;100.0000;0.0000;0.0000;0.684;0.01;0.00395;0.00000;0.00000;0.00000;0.00610;0.00000;51.770571
2.526;100.0000;0.0000;0.0000;0.684;0.04;0.01379;0.00000;0.00000;0.00000;0.02130;0.00000;51.29262
2.478;100.0000;0.0000;0.0000;0.684;0.05;0.01967;0.00000;0.00000;0.00000;0.03039;0.00000;51.456075
2.619;100.0000;0.0000;0.0000;0.684;0.01;0.00000;0.00520;0.00000;0.00000;0.00472;0.00000;51.482172
2.562;100.0000;0.0000;0.0000;0.684;0.04;0.00000;0.01838;0.00000;0.00000;0.01669;0.00000;52.324443
2.525;100.0000;0.0000;0.0000;0.684;0.05;0.00000;0.02624;0.00000;0.00000;0.02383;0.00000;51.51147
2.531;100.0000;0.0000;0.0000;0.684;0.04;0.01111;0.00039;0.00040;0.00131;0.02205;0.00000;51.748053
2.528;100.0000;0.0000;0.0000;0.684;0.04;0.01103;0.00026;0.00040;0.00130;0.01988;0.00256;51.721446




