Average-HB;P;N;A;DensityOil;Salinity;Na;K;Ca;Mg;Cl;SO4;IFT
2.618;50.0000;0.0000;50.0000;0.7755;1.00;0.00000;0.00000;0.00286;0.00000;0.00000;0.00685;45.280095
2.556;50.0000;0.0000;50.0000;0.7755;3.50;0.00000;0.00000;0.01014;0.00000;0.00000;0.02430;45.2475
2.519;50.0000;0.0000;50.0000;0.7755;5.00;0.00000;0.00000;0.01444;0.00000;0.00000;0.03459;45.041472
2.615;50.0000;0.0000;50.0000;0.7755;1.00;0.00000;0.00000;0.00000;0.00197;0.00000;0.00778;43.636863
2.555;50.0000;0.0000;50.0000;0.7755;3.50;0.00000;0.00000;0.00000;0.00694;0.00000;0.02741;44.687508
2.514;50.0000;0.0000;50.0000;0.7755;5.00;0.00000;0.00000;0.00000;0.00986;0.00000;0.03896;45.5034
2.620;50.0000;0.0000;50.0000;0.7755;1.00;0.00313;0.00000;0.00000;0.00000;0.00000;0.00654;43.758369
2.556;50.0000;0.0000;50.0000;0.7755;3.50;0.01104;0.00000;0.00000;0.00000;0.00000;0.02306;45.444486
2.517;50.0000;0.0000;50.0000;0.7755;5.00;0.01582;0.00000;0.00000;0.00000;0.00000;0.03304;45.43365
2.623;50.0000;0.0000;50.0000;0.7755;1.00;0.00000;0.00431;0.00000;0.00000;0.00000;0.00529;45.318069
2.576;50.0000;0.0000;50.0000;0.7755;3.50;0.00000;0.01548;0.00000;0.00000;0.00000;0.01900;44.643642
2.544;50.0000;0.0000;50.0000;0.7755;5.00;0.00000;0.02208;0.00000;0.00000;0.00000;0.02711;44.790987
2.613;50.0000;0.0000;50.0000;0.7755;1.00;0.00000;0.00000;0.00362;0.00000;0.00642;0.00000;45.34476
2.535;50.0000;0.0000;50.0000;0.7755;3.50;0.00000;0.00000;0.01225;0.00000;0.02170;0.00000;46.765764
2.487;50.0000;0.0000;50.0000;0.7755;5.00;0.00000;0.00000;0.01729;0.00000;0.03064;0.00000;45.492039
2.607;50.0000;0.0000;50.0000;0.7755;1.00;0.00000;0.00000;0.00000;0.00252;0.00737;0.00000;44.405373
2.527;50.0000;0.0000;50.0000;0.7755;3.50;0.00000;0.00000;0.00000;0.00890;0.02602;0.00000;45.066165
2.483;50.0000;0.0000;50.0000;0.7755;5.00;0.00000;0.00000;0.00000;0.01276;0.03730;0.00000;47.078439
2.612;50.0000;0.0000;50.0000;0.7755;1.00;0.00395;0.00000;0.00000;0.00000;0.00610;0.00000;44.272548
2.528;50.0000;0.0000;50.0000;0.7755;3.50;0.01379;0.00000;0.00000;0.00000;0.02130;0.00000;45.324981
2.480;50.0000;0.0000;50.0000;0.7755;2.50;0.01967;0.00000;0.00000;0.00000;0.03039;0.00000;45.875034
2.620;50.0000;0.0000;50.0000;0.7755;1.00;0.00000;0.00520;0.00000;0.00000;0.00472;0.00000;43.379859
2.565;50.0000;0.0000;50.0000;0.7755;3.50;0.00000;0.01838;0.00000;0.00000;0.01669;0.00000;44.244876
2.528;50.0000;0.0000;50.0000;0.7755;5.00;0.00000;0.02624;0.00000;0.00000;0.02383;0.00000;45.586926
2.523;50.0000;0.0000;50.0000;0.7755;3.50;0.01111;0.00039;0.00040;0.00131;0.02205;0.00000;47.76726
2.529;50.0000;0.0000;50.0000;0.7755;3.47;0.01103;0.00026;0.00040;0.00130;0.01988;0.00256;45.581916




