Average-HB;P;N;A;DensityOil;Salinity;Na;K;Ca;Mg;Cl;SO4;IFT
2.618;61.8800;21.0000;17.1200;0.8050;1.00;0.00000;0.00000;0.00286;0.00000;0.00000;0.00685;47.639445
2.556;61.8800;21.0000;17.1200;0.8050;3.50;0.00000;0.00000;0.01014;0.00000;0.00000;0.02430;49.094541
2.518;61.8800;21.0000;17.1200;0.8050;5.00;0.00000;0.00000;0.01444;0.00000;0.00000;0.03459;49.208634
2.615;61.8800;21.0000;17.1200;0.8050;1.00;0.00000;0.00000;0.00000;0.00197;0.00000;0.00778;48.522384
2.550;61.8800;21.0000;17.1200;0.8050;3.50;0.00000;0.00000;0.00000;0.00694;0.00000;0.02741;49.089684
2.515;61.8800;21.0000;17.1200;0.8050;5.00;0.00000;0.00000;0.00000;0.00986;0.00000;0.03896;50.216811
2.615;61.8800;21.0000;17.1200;0.8050;1.00;0.00313;0.00000;0.00000;0.00000;0.00000;0.00654;49.234515
2.555;61.8800;21.0000;17.1200;0.8050;3.50;0.01104;0.00000;0.00000;0.00000;0.00000;0.02306;49.340307
2.521;61.8800;21.0000;17.1200;0.8050;5.00;0.01582;0.00000;0.00000;0.00000;0.00000;0.03304;49.350675
2.623;61.8800;21.0000;17.1200;0.8050;1.00;0.00000;0.00431;0.00000;0.00000;0.00000;0.00529;49.234515
2.573;61.8800;21.0000;17.1200;0.8050;3.50;0.00000;0.01548;0.00000;0.00000;0.00000;0.01900;49.340307
2.543;61.8800;21.0000;17.1200;0.8050;5.00;0.00000;0.02208;0.00000;0.00000;0.00000;0.02711;49.350675
2.609;61.8800;21.0000;17.1200;0.8050;1.00;0.00000;0.00000;0.00362;0.00000;0.00642;0.00000;50.22972
2.532;61.8800;21.0000;17.1200;0.8050;3.50;0.00000;0.00000;0.01225;0.00000;0.02170;0.00000;49.62549
2.481;61.8800;21.0000;17.1200;0.8050;5.00;0.00000;0.00000;0.01729;0.00000;0.03064;0.00000;51.229116
2.612;61.8800;21.0000;17.1200;0.8050;1.00;0.00000;0.00000;0.00000;0.00252;0.00737;0.00000;49.529865
2.529;61.8800;21.0000;17.1200;0.8050;3.50;0.00000;0.00000;0.00000;0.00890;0.02602;0.00000;49.290204
2.477;61.8800;21.0000;17.1200;0.8050;5.00;0.00000;0.00000;0.00000;0.01276;0.03730;0.00000;48.727041
2.604;61.8800;21.0000;17.1200;0.8050;1.00;0.00395;0.00000;0.00000;0.00000;0.00610;0.00000;49.909659
2.525;61.8800;21.0000;17.1200;0.8050;3.50;0.01379;0.00000;0.00000;0.00000;0.02130;0.00000;50.272308
2.476;61.8800;21.0000;17.1200;0.8050;2.50;0.01967;0.00000;0.00000;0.00000;0.03039;0.00000;50.743119
2.618;61.8800;21.0000;17.1200;0.8050;1.00;0.00000;0.00520;0.00000;0.00000;0.00472;0.00000;48.608856
2.559;61.8800;21.0000;17.1200;0.8050;3.50;0.00000;0.01838;0.00000;0.00000;0.01669;0.00000;48.439251
2.525;61.8800;21.0000;17.1200;0.8050;5.00;0.00000;0.02624;0.00000;0.00000;0.02383;0.00000;48.901131
2.524;61.8800;21.0000;17.1200;0.8050;3.50;0.01111;0.00039;0.00040;0.00131;0.02205;0.00000;50.109309
2.529;61.8800;21.0000;17.1200;0.8050;3.47;0.01103;0.00026;0.00040;0.00130;0.01988;0.00256;49.90011




