Average-HB;P;N;A;DensityOil;Salinity;Na;K;Ca;Mg;Cl;SO4;IFT
2.615;69.0824;3.8574;27.0602;0.8465;1.00;0.00000;0.00000;0.00286;0.00000;0.00000;0.00685;50.388564
2.555;69.0824;3.8574;27.0602;0.8465;3.50;0.00000;0.00000;0.01014;0.00000;0.00000;0.02430;51.763575
2.515;69.0824;3.8574;27.0602;0.8465;5.00;0.00000;0.00000;0.01444;0.00000;0.00000;0.03459;49.984269
2.617;69.0824;3.8574;27.0602;0.8465;1.00;0.00000;0.00000;0.00000;0.00197;0.00000;0.00778;49.467912
2.548;69.0824;3.8574;27.0602;0.8465;3.50;0.00000;0.00000;0.00000;0.00694;0.00000;0.02741;51.239973
2.514;69.0824;3.8574;27.0602;0.8465;5.00;0.00000;0.00000;0.00000;0.00986;0.00000;0.03896;51.720108
2.615;69.0824;3.8574;27.0602;0.8465;1.00;0.00313;0.00000;0.00000;0.00000;0.00000;0.00654;50.896332
2.555;69.0824;3.8574;27.0602;0.8465;3.50;0.01104;0.00000;0.00000;0.00000;0.00000;0.02306;51.07548
2.515;69.0824;3.8574;27.0602;0.8465;5.00;0.01582;0.00000;0.00000;0.00000;0.00000;0.03304;51.359928
2.625;69.0824;3.8574;27.0602;0.8465;1.00;0.00000;0.00431;0.00000;0.00000;0.00000;0.00529;49.964169
2.576;69.0824;3.8574;27.0602;0.8465;3.50;0.00000;0.01548;0.00000;0.00000;0.00000;0.01900;51.006774
2.542;69.0824;3.8574;27.0602;0.8465;5.00;0.00000;0.02208;0.00000;0.00000;0.00000;0.02711;50.426451
2.612;69.0824;3.8574;27.0602;0.8465;1.00;0.00000;0.00000;0.00362;0.00000;0.00642;0.00000;49.736778
2.534;69.0824;3.8574;27.0602;0.8465;3.50;0.00000;0.00000;0.01225;0.00000;0.02170;0.00000;51.298941
2.479;69.0824;3.8574;27.0602;0.8465;5.00;0.00000;0.00000;0.01729;0.00000;0.03064;0.00000;51.549888
2.613;69.0824;3.8574;27.0602;0.8465;1.00;0.00000;0.00000;0.00000;0.00252;0.00737;0.00000;50.116287
2.529;69.0824;3.8574;27.0602;0.8465;3.50;0.00000;0.00000;0.00000;0.00890;0.02602;0.00000;51.033183
2.478;69.0824;3.8574;27.0602;0.8465;5.00;0.00000;0.00000;0.00000;0.01276;0.03730;0.00000;52.712442
2.610;69.0824;3.8574;27.0602;0.8465;1.00;0.00395;0.00000;0.00000;0.00000;0.00610;0.00000;49.334442
2.525;69.0824;3.8574;27.0602;0.8465;3.50;0.01379;0.00000;0.00000;0.00000;0.02130;0.00000;50.271138
2.479;69.0824;3.8574;27.0602;0.8465;2.50;0.01967;0.00000;0.00000;0.00000;0.03039;0.00000;50.280492
2.618;69.0824;3.8574;27.0602;0.8465;1.00;0.00000;0.00520;0.00000;0.00000;0.00472;0.00000;50.462358
2.562;69.0824;3.8574;27.0602;0.8465;3.50;0.00000;0.01838;0.00000;0.00000;0.01669;0.00000;50.379135
2.527;69.0824;3.8574;27.0602;0.8465;5.00;0.00000;0.02624;0.00000;0.00000;0.02383;0.00000;50.205372
2.522;69.0824;3.8574;27.0602;0.8465;3.50;0.01111;0.00039;0.00040;0.00131;0.02205;0.00000;49.859886
2.530;69.0824;3.8574;27.0602;0.8465;3.47;0.01103;0.00026;0.00040;0.00130;0.01988;0.00256;50.799522

