Average-HB;P;N;A;DensityOil;Salinity;Na;K;Ca;Mg;Cl;SO4;IFT
2.621;0.0000;100.0000;0.0000;0.867;0.01;0.00000;0.00000;0.00286;0.00000;0.00000;0.00685;47.193429
2.557;0.0000;100.0000;0.0000;0.867;0.03;0.00000;0.00000;0.01014;0.00000;0.00000;0.02430;40.313379
2.521;0.0000;100.0000;0.0000;0.867;0.05;0.00000;0.00000;0.01444;0.00000;0.00000;0.03459;41.316954
2.61832413;0.0000;100.0000;0.0000;0.867;0.01;0.00000;0.00000;0.00000;0.00197;0.00000;0.00778;41.956545
2.554;0.0000;100.0000;0.0000;0.867;0.03;0.00000;0.00000;0.00000;0.00694;0.00000;0.02741;40.009083
2.516;0.0000;100.0000;0.0000;0.867;0.05;0.00000;0.00000;0.00000;0.00986;0.00000;0.03896;41.334006
2.619;0.0000;100.0000;0.0000;0.867;0.01;0.00313;0.00000;0.00000;0.00000;0.00000;0.00654;42.629112
2.553;0.0000;100.0000;0.0000;0.867;0.03;0.01104;0.00000;0.00000;0.00000;0.00000;0.02306;41.228883
2.517;0.0000;100.0000;0.0000;0.867;0.05;0.01582;0.00000;0.00000;0.00000;0.00000;0.03304;41.118342
2.626;0.0000;100.0000;0.0000;0.867;0.01;0.00000;0.00431;0.00000;0.00000;0.00000;0.00529;41.21784
2.576;0.0000;100.0000;0.0000;0.867;0.03;0.00000;0.01548;0.00000;0.00000;0.00000;0.01900;39.997047
2.546;0.0000;100.0000;0.0000;0.867;0.05;0.00000;0.02208;0.00000;0.00000;0.00000;0.02711;41.46384
2.613;0.0000;100.0000;0.0000;0.867;0.01;0.00000;0.00000;0.00362;0.00000;0.00642;0.00000;41.438145
2.532;0.0000;100.0000;0.0000;0.867;0.03;0.00000;0.00000;0.01225;0.00000;0.02170;0.00000;42.060042
2.484;0.0000;100.0000;0.0000;0.867;0.05;0.00000;0.00000;0.01729;0.00000;0.03064;0.00000;42.701946
2.612;0.0000;100.0000;0.0000;0.867;0.01;0.00000;0.00000;0.00000;0.00252;0.00737;0.00000;40.702032
2.531;0.0000;100.0000;0.0000;0.867;0.03;0.00000;0.00000;0.00000;0.00890;0.02602;0.00000;41.238642
2.481;0.0000;100.0000;0.0000;0.867;0.05;0.00000;0.00000;0.00000;0.01276;0.03730;0.00000;43.762242
2.609;0.0000;100.0000;0.0000;0.867;0.01;0.00395;0.00000;0.00000;0.00000;0.00610;0.00000;41.858886
2.528;0.0000;100.0000;0.0000;0.867;0.04;0.01379;0.00000;0.00000;0.00000;0.02130;0.00000;42.230085
2.476;0.0000;100.0000;0.0000;0.867;0.05;0.01967;0.00000;0.00000;0.00000;0.03039;0.00000;41.577345
2.623;0.0000;100.0000;0.0000;0.867;0.01;0.00000;0.00520;0.00000;0.00000;0.00472;0.00000;40.843023
2.564;0.0000;100.0000;0.0000;0.867;0.04;0.00000;0.01838;0.00000;0.00000;0.01669;0.00000;42.736314
2.529;0.0000;100.0000;0.0000;0.867;0.05;0.00000;0.02624;0.00000;0.00000;0.02383;0.00000;41.118342
2.532;0.0000;100.0000;0.0000;0.867;0.04;0.01111;0.00039;0.00040;0.00131;0.02205;0.00000;41.997972
2.530;0.0000;100.0000;0.0000;0.867;0.04;0.01103;0.00026;0.00040;0.00130;0.01988;0.00256;42.362949





